filename,base_tag,head_tag,total_cts_size,new_cts
src/UC001_Solicitar_Diarias.claret,exp01_rgp-diarias_v1.1.1,exp01_rgp-diarias_v1.2,37,"{'TC7', 'TC1', 'TC32', 'TC13', 'TC26', 'TC19'}"
src/UC001_Solicitar_Diarias.claret,exp01_rgp-diarias_v1.2,exp01_rgp-diarias_v1.2.1,67,"{'TC52', 'TC16', 'TC6', 'TC19', 'TC7', 'TC55', 'TC39', 'TC5', 'TC17', 'TC44', 'TC51', 'TC27', 'TC14', 'TC35', 'TC48', 'TC38', 'TC30', 'TC57', 'TC25', 'TC42', 'TC60', 'TC23', 'TC59', 'TC61', 'TC13', 'TC67', 'TC56', 'TC47', 'TC22', 'TC28', 'TC33', 'TC20', 'TC9', 'TC12', 'TC37', 'TC63', 'TC43', 'TC41', 'TC58', 'TC54', 'TC46', 'TC29', 'TC36', 'TC4', 'TC2', 'TC40', 'TC34', 'TC66', 'TC15', 'TC65', 'TC64', 'TC1', 'TC24', 'TC62', 'TC26', 'TC21', 'TC8', 'TC10', 'TC53', 'TC49', 'TC11', 'TC3', 'TC32', 'TC31', 'TC18', 'TC50'}"
src/UC001_Solicitar_Diarias.claret,exp01_rgp-diarias_v1.2.5,exp01_rgp-diarias_v1.3,103,"{'TC16', 'TC6', 'TC19', 'TC7', 'TC45', 'TC55', 'TC17', 'TC51', 'TC98', 'TC80', 'TC68', 'TC38', 'TC30', 'TC57', 'TC25', 'TC42', 'TC75', 'TC88', 'TC23', 'TC59', 'TC82', 'TC13', 'TC67', 'TC85', 'TC101', 'TC77', 'TC47', 'TC86', 'TC102', 'TC28', 'TC76', 'TC71', 'TC33', 'TC94', 'TC20', 'TC12', 'TC103', 'TC37', 'TC63', 'TC41', 'TC58', 'TC97', 'TC54', 'TC81', 'TC46', 'TC29', 'TC36', 'TC90', 'TC2', 'TC40', 'TC93', 'TC34', 'TC66', 'TC84', 'TC15', 'TC64', 'TC24', 'TC62', 'TC72', 'TC73', 'TC21', 'TC8', 'TC53', 'TC49', 'TC99', 'TC11', 'TC89', 'TC3', 'TC32', 'TC92', 'TC4', 'TC50'}"
src/UC007_Listar_Autorizacoes_Pagamentos_Pendentes.claret,exp01_rgp-diarias_v0.1,exp01_rgp-diarias_v0.2,5,"{'TC1', 'TC2', 'TC5', 'TC3', 'TC4'}"
src/UC008_Registrar_Autorizacao_de_Pagamento.claret,exp01_rgp-diarias_v0.1,exp01_rgp-diarias_v0.2,3,"{'TC2', 'TC1', 'TC3'}"
src/UC009_Prestar_Contas.claret,exp01_rgp-diarias_v0.1,exp01_rgp-diarias_v0.2,10,"{'TC8', 'TC10', 'TC2', 'TC6', 'TC9', 'TC7', 'TC1', 'TC3', 'TC5', 'TC4'}"
src/UC010_Analisar_Prestacao_de_Contas.claret,exp01_rgp-diarias_v0.1,exp01_rgp-diarias_v0.2,5,"{'TC1', 'TC2', 'TC5', 'TC3', 'TC4'}"
src/UC011_Listar_Solicitacoes_de_Diarias.claret,exp01_rgp-diarias_v1.1,exp01_rgp-diarias_v1.1.1,5,{'TC1'}
